ID;GRUPO_PRODUCTO;CON_LINEA_CREDITO;INGRESO_NETO;INGRESO_ITEM_1;INGRESO_ITEM_2;MESES_ANTIGUEDAD
130;4;SI;39,239862;15,797045;14,423;116
133;4;SI;8,671353;6,059353;0;68
238;2;SI;168,801714;82,770594;69,167;99
251;2;SI;115,562372;93,957372;0,725;30
273;4;SI;32,645475;17,150819;10,723;60
317;2;SI;70,826137;53,354637;19,003;84
331;4;SI;48,630802;0;26,502;86
372;3;SI;0,2755;0,2755;0;1
404;2;NO;209,910368;102,729999;85,8;64
467;2;SI;146,123952;68,595039;60,067;89
492;3;SI;3,9987;0;3,999;4
538;4;SI;12,567667;0;4,408;68
603;4;NO;83,243463;41,851121;38,55;146
634;2;SI;300,303163;209,604305;67,024;129
656;4;SI;0,072;0;0;149
737;3;SI;0;0;0;2
803;2;SI;154,047508;68,285361;7,196;116
805;4;SI;39,963447;0;35,987;99
815;4;SI;35,133;0;1,085;86
891;4;SI;30,754766;13,577266;2,992;100
945;4;SI;12,580666;0;21,597;131
1031;2;SI;91,026805;80,378364;69,361;137
1169;4;SI;13,355832;0;13,356;59
1188;4;SI;5,177;1,753;1,845;45
1212;4;SI;1,084319;0;10,012;83
1741;2;SI;190,073751;131,681901;17,524;79
1939;2;NO;200,414655;15,706917;4,456;55
2245;4;NO;144,342376;35,844871;17,263;177
2662;4;SI;9,977833;0;7,466;72
2827;2;SI;192,989304;194,701471;0,336;106
3049;4;SI;12,762552;6,574219;0,008;69
3095;2;SI;74,394127;0;50,434;165
3229;3;SI;22,756222;8,99973;29,46;10
3244;4;SI;3,8925;0;3,893;45
3454;4;SI;0,672;0;7,698;37
3519;2;NO;237,16017;46,3101;71,824;95
3618;2;SI;153,89871;0;139,515;93
3648;4;SI;7,070997;0;33,015;84
3720;4;NO;104,241667;34,050001;1,217;129
3816;4;SI;4,115666;0;14,079;150
3924;4;SI;0,608;0;0;77
3948;4;SI;14,930608;0;9,091;53
4010;4;SI;16,4795;13,29;5,451;172
4060;4;SI;45,108583;1,374585;5,302;178
4133;2;SI;75,908115;4,345786;26,858;18
4150;4;SI;24,921276;0;11,689;162
4326;4;NO;40,134;0;9,25;137
4461;2;SI;105,964236;83,177076;2,783;98
4508;4;SI;0,008;0;0;67
4638;3;SI;0;0;0;2
4638;2;SI;127,133041;111,864213;12,969;68
4813;2;SI;76,041671;61,729671;0;92
4956;4;SI;6,709495;0;11,557;75
4995;4;SI;0,112;0;0;75
5042;4;SI;0;0;0;52
5051;3;SI;0;0;0;3
5133;2;SI;138,588127;123,769839;23,362;116
5158;4;SI;10,473023;0;25,717;133
5183;2;SI;251,24149;152,737829;34,248;13
5315;2;SI;192,917159;0;94,765;145
5411;2;SI;76,501441;6,621441;0;57
5643;4;SI;37,206833;0;1,111;71
5725;3;SI;27,162769;24,162769;0;9
5945;4;SI;2,160617;1,660617;0;20
5955;2;SI;91,823629;81,70513;2,712;139
5989;4;NO;151,81613;36,55422;16,272;163
6080;4;SI;0;0;0;95
6148;1;SI;140,539703;89,305871;1,906;1
6264;4;NO;178,011295;129,468732;53,431;86
6314;4;SI;13,521715;9,592548;1,679;85
6330;2;SI;121,979326;0,015;56,988;141
6378;4;NO;132,729894;105,459422;8,811;45
6515;2;SI;217,485523;0;158,494;66
