ID,GRUPO_PRODUCTO,CON_LINEA_CREDITO,INGRESO_NETO,INGRESO_ITEM_1,INGRESO_ITEM_2,MESES_ANTIGUEDAD
130,4,SI,39,,,
133,4,SI,8,,,
238,2,SI,168,,,
251,2,SI,115,,,
273,4,SI,32,,,
317,2,SI,70,,,
331,4,SI,48,,,
372,3,SI,0,,,
404,2,NO,209,,,
467,2,SI,146,,,
492,3,SI,3,,,
538,4,SI,12,,,
603,4,NO,83,,,
634,2,SI,300,,,
656,4,SI,0,,,
737,3,SI,0,0,0,2
803,2,SI,154,,,
805,4,SI,39,,,
815,4,SI,35,,,
891,4,SI,30,,,
945,4,SI,12,,,
1031,2,SI,91,,,
1169,4,SI,13,,,
1188,4,SI,5,,,
1212,4,SI,1,,,
1741,2,SI,190,,,
1939,2,NO,200,,,
2245,4,NO,144,,,
2662,4,SI,9,,,
2827,2,SI,192,,,
3049,4,SI,12,,,
3095,2,SI,74,,,
3229,3,SI,22,,,
3244,4,SI,3,,,
3454,4,SI,0,,,
3519,2,NO,237,,,
3618,2,SI,153,,,
3648,4,SI,7,,,
3720,4,NO,104,,,
3816,4,SI,4,,,
3924,4,SI,0,,,
3948,4,SI,14,,,
4010,4,SI,16,,,
4060,4,SI,45,,,
4133,2,SI,75,,,
4150,4,SI,24,,,
4326,4,NO,40,,,
4461,2,SI,105,,,
4508,4,SI,0,,,
4638,3,SI,0,0,0,2
4638,2,SI,127,,,
4813,2,SI,76,,,
4956,4,SI,6,,,
4995,4,SI,0,,,
5042,4,SI,0,0,0,52
5051,3,SI,0,0,0,3
5133,2,SI,138,,,
5158,4,SI,10,,,
5183,2,SI,251,,,
5315,2,SI,192,,,
5411,2,SI,76,,,
5643,4,SI,37,,,
5725,3,SI,27,,,
5945,4,SI,2,,,
5955,2,SI,91,,,
5989,4,NO,151,,,
6080,4,SI,0,0,0,95
6148,1,SI,140,,,
6264,4,NO,178,,,
6314,4,SI,13,,,
6330,2,SI,121,,,
6378,4,NO,132,,,
6515,2,SI,217,,,
6657,2,SI,113,,,
