ALEAT,ID,OBJ,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_P,VT,V1_P,V2_P,V3_P,V4_P,V5_P,V6_P,V7_P,V8_P,V9_P,V10_P,V11_P,V12_P,V13_P,V14_P,V15_P,V16_P,V17_P,V18_P,V19_P,V20_P,V21_P,V22_P,V23_P,V24_P,V25_P,V26_P,V27_P,V28_P,V29_P,V30_P,V31_P
1.14E-05,279403833,NO,0,0,0,11.991,0.253845,0,0,0,1.343712,0.006648,8.553861,9.672778,0,0,0,0.689762,3.716568,143.987335,12.245796,31.048779,7.644041,0,33.253913,355.9201,0,0,0,0,640.502304,0,0.728002,1261.558444,0,0,0,0.009505,0.000201,0,0,0,0.001065,0.000005,0.00678,0.007667,0,0,0,0.000547,0.002946,0.114134,0.009707,0.024611,0.006059,0,0.026359,0.282127,0,0,0,0,0.507707,0,0.000577
2.08E-05,278970977,NO,0.02043,6.621791,0,1.545208,116.968217,19.232067,0,0,656.50391,0,15.42172,149.117203,11.67421,0,0,7.773514,47.33637,446.648812,972.151869,61.619939,177.410416,0.464984,13272.54419,1066.254358,0.928695,0,0,0,48924.6099,0,45.555972,66000.40378,0,0.0001,0,0.000023,0.001772,0.000291,0,0,0.009947,0,0.000234,0.002259,0.000177,0,0,0.000118,0.000717,0.006767,0.014729,0.000934,0.002688,0.000007,0.201098,0.016155,0.000014,0,0,0,0.741277,0,0.00069
3.36E-05,266714141,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828,0,0,0,0.000519,0.003088,0,0,0,0,0,0,0,0.004435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186697,0,0,0,0.117024,0.69628,0,0,0,0,0,0,0
3.58E-05,278047301,NO,0,0.039873,0,0.225174,84.001848,0.104324,0,0,19.300749,0,7.841724,77.742548,0.382159,0,0,2.015115,0.177988,142.371723,188.370101,48.269809,80.590325,0.115759,378.962361,178.606595,0,0,0,0,2954.11757,0,20.310593,4183.546338,0,0.00001,0,0.000054,0.020079,0.000025,0,0,0.004613,0,0.001874,0.018583,0.000091,0,0,0.000482,0.000043,0.034031,0.045026,0.011538,0.019264,0.000028,0.090584,0.042693,0,0,0,0,0.706128,0,0.004855
4.51E-05,334324292,NO,0,5.223464,0,131.933357,130.280795,3.020154,0.044157,0,3.038757,0,6.629334,11.688964,12.971106,0,0,2.70591,9.280863,78.795954,355.81166,704.984368,83.448735,1.44777,2079.625774,1088.149231,0.025015,0,0,7.781566,3206.512316,0,138.79219,8062.19144,0,0.000648,0,0.016364,0.016159,0.000375,0.000005,0,0.000377,0,0.000822,0.00145,0.001609,0,0,0.000336,0.001151,0.009774,0.044133,0.087443,0.010351,0.00018,0.257948,0.134969,0.000003,0,0,0.000965,0.397722,0,0.017215
5.46E-05,273129363,SI,0,0.001142,0,5.649676,10.46515,1.362064,0,0,92.497324,0,137.453717,30.289904,17.236782,0,0,2.636156,1.740022,118.029854,140.530366,41.199901,382.031027,7.057599,3958.898748,782.269403,0.065813,0,0,0,3383.819444,3.641902,9.923958,9126.799952,0,0,0,0.000619,0.001147,0.000149,0,0,0.010135,0,0.01506,0.003319,0.001889,0,0,0.000289,0.000191,0.012932,0.015398,0.004514,0.041858,0.000773,0.433766,0.085711,0.000007,0,0,0,0.370756,0.000399,0.001087
6.33E-05,276850389,SI,11.108216,1123.183595,0,7.221702,382.974436,4.446651,0.043968,0,34.198267,0,25.920857,921.44667,259.121577,0,0,12.246378,1.775648,295.492426,334.911601,242.127767,170.31137,64.119217,706.389905,1602.191753,0,0,0,0,28215.96177,0,93.102803,34508.29658,0.000322,0.032548,0,0.000209,0.011098,0.000129,0.000001,0,0.000991,0,0.000751,0.026702,0.007509,0,0,0.000355,0.000051,0.008563,0.009705,0.007017,0.004935,0.001858,0.02047,0.046429,0,0,0,0,0.817657,0,0.002698
7.05E-05,279636949,NO,0,0,0,0.122583,11.208994,0.269118,0,0,430.265232,0,0.015161,9.83478,145.161383,0,0,0.124912,3.51637,56.114859,50.64324,10.937529,6.054207,0.107769,47.62767,58.608677,0,0,0,0,188.30388,0,2.663057,1021.579421,0,0,0,0.00012,0.010972,0.000263,0,0,0.421176,0,0.000015,0.009627,0.142095,0,0,0.000122,0.003442,0.05493,0.049573,0.010706,0.005926,0.000105,0.046622,0.057371,0,0,0,0,0.184326,0,0.002607
7.67E-05,334253510,NO,0,0.236909,0,0,0.798446,0,0,0,0.05322,0,0.005648,1.889933,0.000292,0,0,0.142738,0,12.260006,0.920663,4.019703,6.041642,0,269.287056,58.299545,0,0,0,0,97.07868,0,0,451.034481,0,0.000525,0,0,0.00177,0,0,0,0.000118,0,0.000013,0.00419,0.000001,0,0,0.000316,0,0.027182,0.002041,0.008912,0.013395,0,0.597043,0.129257,0,0,0,0,0.215236,0,0
7.70E-05,331837752,NO,0,0,0,6.498486,8.752755,0.396349,0.096401,0,2.689777,0,0.598761,10.906927,0.007732,0,0,1.728394,0.636688,39.231452,17.568676,36.51478,14.551712,0.184075,338.238154,155.623439,0.028012,0,0,0.036568,687.227822,0,2.457699,1323.974659,0,0,0,0.011063,0.012366,0.000306,0.000074,0,0.002074,0,0.015443,0.101567,0.000006,0,0,0.001637,0.000491,0.198511,0.430748,0.087602,0.012317,0.002465,0.403001,1.097249,0.000022,0,0,0.001349,0.604611,0,0.0171
